,namespace,user_id,id
0,colegiounidadejardim,00046,11
1,dantealighieri,55449292face,15117
2,zefinharibeiro,6035wesley,15201
3,campossalles,654321,15311
4,autores,80702066168,15450
5,escolaimpacto,80702066168,15452
6,ecml,810605,15463
7,colegioguilhermedealmeida,emmanuelguimaraes,181248
8,ipenilopolis,ipenilopolis,260734
9,cermac,danielrp24,227760
10,oswald,CarolinaGil,19585
11,oswald,Castor,19661
12,cam,Celso,19692
13,fernaogaivota,Cidinha,19741
14,inspire,ClecioFischer,19821
15,colegiointegralsolar,andrelgoncalves,143035
16,vestibularcidadao,Coutinho,19869
17,juarezwanderley,Heloisa,23027
18,colegiointegralsolar,ProfFabricio,143036
19,josepinheiro,eduprof.dalma.regia,563025
20,informacao,IDestinatioN,23111
21,simontonsapezal,mariasimonton,260736
22,genesislife,genesislife,260744
23,crescercampinas,profbrenocaetano,179386
24,crescercampinas,profluisgcalliman,179389
25,crescercampinas,profcristianohorta,179390
26,crescercampinas,profjonasmarques,179392
27,crescercampinas,profmurilopanzarin,179393
28,metodocerto,fabiametodocerto,283692
29,escolanovadinamica,MARIA2014,26205
30,colegiounidadejardim,Patty,28797
31,coracao,PaulaLibanori,28823
32,sagrado,PaulaRossi,28829
33,sagrado,PaulaRozalem,28834
34,professor,PauloFreitas,28865
35,juarezwanderley,Paulohist,28878
36,altopadraocuritiba,Pedro,28894
37,josepinheiro,eduprof.evelma.ferreira,563026
38,pedrogeo,Pedrogeo,28930
39,dantealighieri,Peterson,28954
40,inspire,Philosophia,28963
41,colegiointegralsolar,cybelle,143038
42,escolacastanheiras,Pisurno,28988
43,presbiterianajdsaovicente,beresaovicente,260738
44,anchieta,Portugal,29026
45,emece,ProFernando,29084
46,colprogressao,ProfDeividgeo,29089
47,colegiooficina,ProfLucasFactor,29102
48,eeagm,ProfessoraLayana,29116
49,anglocassianoricardo,ProfessoraMarluci,29118
50,colprogressao,ProfessoraMarluci,29122
51,divinomestre,Profulisses13,29123
52,paroquial,Psergio,29126
53,vetor,ProfHiawatha,29097
54,cermac,ProfErika,29093
55,bertelsmann,Qprofessor,29266
56,colegiomanoellobo,REINALDO,29455
57,mackenziebrasilia,ROSIMEIRY,29495
58,descomplica,RafaelC,29604
59,cermac,RafaelSantis,29623
